condition,id,area,first_peak,start_size,end_size,bin_prey_area,difference_popping_point_end_of_growth_min,data,sgr_min,sgr_h
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-48,4.104196122781932,37,0.8797998624399761,4.4884356623651565,"[1.727, 4.427)",8,,0.005571901255010483,0.33431407530062895
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-52,5.920406503220047,52,0.91519901419932,6.0249325415827295,"[4.427, 6.133)",0,,0.004023558631632885,0.2414135178979731
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-54,5.671234882459991,31,1.32073630192836,3.67723675765116,"[4.427, 6.133)",8,,0.004311660582469709,0.25869963494818254
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-57,3.6885284967754526,30,0.86587691163768,2.877122649429,"[1.727, 4.427)",8,,0.005454418834764022,0.3272651300858413
WT,WT-005-a57cec3e-e069-4d82-a31b-a626e3b6b42c-58,4.065775172344838,34,0.90971878058136,2.76203774345184,"[1.727, 4.427)",8,,0.004653220546993366,0.27919323281960196
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-1,6.132055304992075,38,1.233052564041,4.28554268924472,"[4.427, 6.133)",16,,0.004743278009719698,0.2845966805831819
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-2,7.220577379475264,48,0.95356064952504,5.133572873501287,"[6.133, 15.79]",-48,,0.004786522665829191,0.2871913599497515
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-4,5.5232650857740735,37,0.80011410822216,5.808099372472662,"[4.427, 6.133)",0,,0.007418921711029134,0.44513530266174806
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-5,2.546768461086061,18,0.4658198575266,1.55638634750064,"[1.727, 4.427)",16,,0.00989475339254517,0.5936852035527102
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-7,4.42405912013455,33,0.87135714525564,3.5457111508201202,"[1.727, 4.427)",8,,0.005820558575375105,0.3492335145225063
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-8,4.3108275405265575,32,0.94808041590708,3.4141855439890803,"[1.727, 4.427)",8,,0.005501843751661514,0.3301106250996908
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-9,6.560690319099273,38,0.83847574354788,3.79232166362832,"[6.133, 15.79]",8,,0.0033402468018926116,0.2004148081135567
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-13,6.5007651710582115,31,1.30429560107448,4.3184240909524805,"[6.133, 15.79]",16,,0.005503246260180754,0.33019477561084526
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-16,4.670405608935495,37,1.03028392017648,3.29910063801192,"[4.427, 6.133)",8,,0.004492508299539923,0.2695504979723954
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-17,5.012214625058763,39,0.8494362107838,3.86904493427976,"[4.427, 6.133)",16,,0.0050014032893030795,0.30008419735818476
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-20,5.308378367446942,34,0.72339083757072,5.58435805670124,"[4.427, 6.133)",-24,,0.008026887344067769,0.48161324064406613
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-21,4.07252497097472,29,0.98096181761484,2.52638769787956,"[1.727, 4.427)",8,,0.004858819965725049,0.29152919794350296
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-25,6.19196326080235,42,1.18921069509732,4.14853684879572,"[6.133, 15.79]",8,,0.004431188717805937,0.2658713230683562
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-28,2.861126239741777,17,0.40005705411108,0.88231761249156,"[1.727, 4.427)",32,,0.005509239853611741,0.3305543912167045
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-29,5.1195109998478685,44,0.8877978461095201,4.07181357814428,"[4.427, 6.133)",8,,0.004693816438513279,0.2816289863107967
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-30,6.616092593475731,44,1.096046723592,4.8719276863664405,"[6.133, 15.79]",0,,0.004539992200385503,0.27239953202313016
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-33,6.653516905362528,42,0.9590408831430001,5.206221937062,"[6.133, 15.79]",8,,0.005833160947247933,0.349989656834876
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-34,6.545875193044907,46,0.97000135037892,5.7213638971502405,"[6.133, 15.79]",8,,0.005379093153225216,0.322745589193513
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-36,4.005265430299723,40,0.8549164444017601,3.305025006590825,"[1.727, 4.427)",-88,,0.004921101076304819,0.29526606457828913
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-41,4.564255194984085,38,0.9590408831430001,3.8617219620241565,"[4.427, 6.133)",8,,0.005511808372830367,0.330708502369822
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-44,5.455423600387756,46,0.9590408831430001,4.4937915667272,"[4.427, 6.133)",8,,0.004852734256551476,0.2911640553930886
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-46,4.656300480391322,37,1.0138432193226001,4.11565544708796,"[4.427, 6.133)",8,,0.005514376235430443,0.3308625741258266
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-48,6.4889649337388136,44,0.9919222848507601,4.70752067782764,"[6.133, 15.79]",0,,0.005461845015092795,0.3277107009055677
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-50,6.688302417442318,41,1.0446198451974105,4.78424394847908,"[6.133, 15.79]",0,,0.00572591648524056,0.3435549891144336
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-55,4.1095401522929755,33,0.9261594814352401,2.91548428475472,"[1.727, 4.427)",8,,0.005083017617376106,0.3049810570425664
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-64,4.748440559255602,36,1.0686455555022,4.0827740453802,"[4.427, 6.133)",0,,0.005445752007282683,0.32674512043696097
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-67,6.340717787704177,32,1.49062354408512,3.88548563513364,"[6.133, 15.79]",8,,0.004432442981520493,0.2659465788912296
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-68,5.220972204538796,39,0.9864420512328,4.3239043245704405,"[4.427, 6.133)",-104,,0.005509303178633163,0.3305581907179898
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-71,4.05392139704544,38,0.86587691163768,2.5483086323514,"[1.727, 4.427)",8,,0.0037099403861205957,0.22259642316723574
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-72,4.74161044279216,39,1.00288275208668,3.5552190011599762,"[4.427, 6.133)",-8,,0.004477089292556614,0.2686253575533969
WT,WT-005-f5110b56-da2c-4c8f-9b84-e699344eb808-118,3.6356423874010684,35,0.936121330360779,3.429900001448795,"[1.727, 4.427)",8,,0.004711173949257318,0.28267043695543903
WT,WT-007-6ae8afe1-d43d-4523-816f-153ae2111839-29,6.366064708426326,66,0.69598966948092,5.748765065240041,"[6.133, 15.79]",-80,,0.0036387942323434044,0.21832765394060427
WT,WT-007-ba184459-79e1-478a-a424-b87efdc4f373-79,4.602591351691845,50,1.05768508826628,3.6991576921230003,"[4.427, 6.133)",0,,0.0033802623907744165,0.202815743446465
