id,condition,area,popping_frame,max_focis,area_focis,first_focis_frame,last_max_focis_frame,first_max_focis_frame,max_focis_duration_frame,max_focis_duration_min,diff_last_max_focis_first_focis_frame,diff_first_max_focis_first_focis_frame,diff_popping_time_first_max_focis_frame,diff_popping_time_last_max_focis_frame,diff_last_max_focis_first_focis_min,diff_first_max_focis_first_focis_min,diff_popping_time_last_max_focis_min,diff_popping_time_first_max_focis_min,bin_prey_area
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-112,WT,5.103241587387256,43,8,0.637905198423407,7,43,33,10,80,36,26,10,0,288,208,0,80,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-115,WT,4.187035356314108,45,7,0.5981479080448725,19,43,43,0,0,24,24,2,2,192,192,16,16,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-116,WT,3.1664894442513982,39,6,0.5277482407085664,5,39,38,1,8,34,33,1,0,272,264,0,8,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-117,WT,3.1279090101510367,38,6,0.5213181683585061,7,37,30,7,56,30,23,8,1,240,184,8,64,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-12,WT,3.0237773662640213,45,5,0.6047554732528042,16,44,35,9,72,28,19,10,1,224,152,8,80,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-121,WT,6.515586153716303,52,7,0.9307980219594718,26,48,48,0,0,22,22,4,4,176,176,32,32,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-122,WT,4.673938981338246,54,5,0.9347877962676492,8,51,45,6,48,43,37,9,3,344,296,24,72,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-124,WT,2.945377424663959,42,5,0.5890754849327917,17,41,41,0,0,24,24,1,1,192,192,8,8,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-126,WT,3.3180827839213003,42,5,0.66361655678426,4,35,35,0,0,31,31,7,7,248,248,56,56,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-131,WT,3.1395431226013844,38,5,0.6279086245202768,11,37,37,0,0,26,26,1,1,208,208,8,8,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-132,WT,4.068300598107718,46,7,0.581185799729674,8,46,38,8,64,38,30,8,0,304,240,0,64,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-133,WT,4.576781637127681,39,7,0.6538259481610973,7,38,38,0,0,31,31,1,1,248,248,8,8,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-14,WT,3.6098803129253647,59,2,1.8049401564626824,7,49,14,35,280,42,7,45,10,336,56,80,360,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-141,WT,3.077575943631185,36,6,0.5129293239385309,5,34,32,2,16,29,27,4,2,232,216,16,32,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-146,WT,2.948579464840442,54,4,0.7371448662101105,14,50,44,6,48,36,30,10,4,288,240,32,80,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-148,WT,3.265427339601798,33,8,0.40817841745022476,5,33,33,0,0,28,28,0,0,224,224,0,0,"[2.053, 3.64)"
